Institucion,Organismo responsable,Expediente,Fecha,Tipo,Objeto,Procedimiento,Ambito_geografico,Materias_CPV,Observaciones,nif_licitador,valor_estimado_licitacion,nombre_poder_adjudicador,nif_adjudicador,nombre_adjudicatario,nif_adjudicatario,valor_oferta_adjudicada,verificacion_organismo,Enlace HTML
MINISTERIO DE DEFENSA,Jefatura de Administración Económica del Cuarto Militar de S,2024/SP03031000/00000738E.,02/01/2025,Contratación,Contratación lotes de alimentación ejercicio 2025.,Abierto,Comunidad de Madrid,"03000000 Productos de la agricultura, ganadería, pesca, silvicultura y productos afines 15000000 Alimentos, bebidas, tabaco y productos afines",No disponible,No disponible,No disponible,Jefatura de Administración Económica del Cuarto Militar de S.M. el Rey y Guardia Real.,S2830101H.,"VIFRUSA,SL.",B79154019.,"85.867,29 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-11
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del CG de la Comandancia Gral,2024/ETSAE0287/00001082E.,02/01/2025,Contratación,"Tramitación Anticipada 2025: Mantenimiento de instalaciones de protección contra incendios en las diversas Instalaciones de la Base Discontinua ""Teniente Flomesta"" de Melilla. (ETH 228706). Aplic. 212.",No disponible,Ciudad de Melilla,"75000000 Servicios de administración pública, defensa y servicios de seguridad social",No disponible,No disponible,No disponible,Jefatura de Asuntos Económicos del CG de la Comandancia Gral. de Melilla.,S2930028B.,Contra Incendios Extimel.,***3319**.,"27.197,79 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-12
MINISTERIO DE DEFENSA,Junta de Contratación del Ministerio de Defensa,2024/SP01010020/00000318.,02/01/2025,Contratación,Contrato unificado de seguros para el Ministerio de Defensa.,Abierto,Nacional,66000000 Servicios financieros y de seguros,"Lotes 2, 4, 5 y 6.",No disponible,No disponible,Junta de Contratación del Ministerio de Defensa.,S2801458G.,"Helvetia Compañía Suiza, Sociedad Anónima de Seguros y Reaseguros.",A41003864.,"55.044,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-13
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del CG de la Comandancia Gral,2024/ETSAE0287/00001257E.,02/01/2025,Contratación,"Dotación de futuros para 2025, para adquisición de productos farmacéuticos con la empresa HEFAME por acuerdo marco.",Abierto,Ciudad de Melilla,"33600000 Equipamiento y artículos médicos, farmacéuticos y de higiene personal",Acuerdo marco.,No disponible,No disponible,Jefatura de Asuntos Económicos del CG de la Comandancia Gral. de Melilla.,S2930028B.,HERMANDAD FARMACEUTICA DEL MEDITERRANEO.,No disponible,"14.000,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-14
MINISTERIO DE DEFENSA,"Instituto de Vivienda, Infraestructura y Equipamiento de la Defensa (INVIED)",202400000261.,02/01/2025,Licitación,"Redacción de proyectos básicos y de ejecución, dirección de obra, dirección de ejecución y coordinación de seguridad y salud en fase de ejecución de las obras promovidas por el INVIED O.A. en MELILLA.",Abierto,Ciudad de Melilla,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,Q2801824J.,"890.000,00 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-15
MINISTERIO DE DEFENSA,"Instituto de Vivienda, Infraestructura y Equipamiento de la Defensa (INVIED)",202400000262.,02/01/2025,Licitación,"Redacción de proyectos básicos y de ejecución, dirección de obra, dirección de ejecución y coordinación de seguridad y salud en fase de ejecución de las obras promovidas por el INVIED O.A. en península (excepto Madrid) y Baleares.",Abierto,Nacional,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,Q2801824J.,"960.000,00 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-16
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,2024/ETSAE0906/00004951E.,02/01/2025,Contratación,prenda de uniformes tradicionales uniformes de la legión y paracaidista-lote 1 anualidad 2025.,Abierto,Comunidad de Madrid,"35000000 Equipo de seguridad, extinción de incendios, policía y defensa",No disponible,No disponible,No disponible,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico.,S2800811H.,"TEXTIL SANTANDERINA, S.A.",A39001219.,"278.966,16 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-17
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del CG de la Comandancia Gral,2024/ETSAE0287/00001190E.,02/01/2025,Contratación,"Tramitación Anticipada 2025: Mantenimiento plantas de osmosis inversa en los Acuartelamientos ""Base Alfonso XIII"" y ""Millán Astray"" para el año 2025.",Abierto,Ciudad de Melilla,50700000 Servicios de reparación y mantenimiento,No disponible,No disponible,No disponible,Jefatura de Asuntos Económicos del CG de la Comandancia Gral. de Melilla.,S2930028B.,HIGICONTROL MELILLA SL.,No disponible,"18.845,69 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-18
MINISTERIO DE DEFENSA,Intendencia de Madrid,2024/AR21U/00002065E.,02/01/2025,Contratación,"Mantenimiento, conservación y limpieza de las instalaciones de las redes de saneamiento de las dependencias.",Abierto,Comunidad de Madrid,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente",No disponible,No disponible,No disponible,Intendencia de Madrid.,S2815001I.,CONTRATAS Y SERVICIOS COSERSA SA.,A80933179.,"9.917,36 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-19
MINISTERIO DE DEFENSA,"Instituto de Vivienda, Infraestructura y Equipamiento de la Defensa (INVIED)",202400000264.,02/01/2025,Licitación,"Redacción de proyectos básicos y de ejecución, dirección de obra, dirección de ejecución y coordinación de seguridad y salud en fase de ejecución de las obras promovidas por el INVIED O.A. en Madrid.",Abierto,Comunidad de Madrid,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,Q2801824J.,"710.000,00 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-20
MINISTERIO DE DEFENSA,Jefatura de Intendencia de Asuntos Económicos Este,2024/ETSAE0327/00006284E.,02/01/2025,Contratación,"DANA Alquiler, limpieza, transporte y mantenimiento de cabinas sanitarias (W.C.,s químicos portátiles) necesarios para el personal de las Fuerzas Armadas desplegado en la Feria de Valencia y en la Base Militar ""General Almirante. TA.",No disponible,Comunidad Valenciana,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente",Lote 1.,No disponible,No disponible,Jefatura de Intendencia de Asuntos Económicos Este.,S0830042H.,ECO WC S.L.,B23653223.,"47.790,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-21
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,2024/ETSAE0906/00002154E.,02/01/2025,Contratación,Adquisición de casco de motorista del equipo especial de motoristas TT.,Abierto,Comunidad de Madrid,"18000000 Prendas de vestir, calzado, artículos de viaje y accesorios",No disponible,No disponible,No disponible,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico.,S2800811H.,"Dirbike, s.l.",B85215952.,"114.000,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-22
MINISTERIO DE DEFENSA,Intendente de Ferrol,2024/AR42U/00002889E.,02/01/2025,Contratación,PARFER.- Servicio abierto de mantenimiento de los vehículos ligeros dependientes del Parque de Automóviles núm. 2 de Ferrol.,Abierto,Galicia,34000000 Equipos de transporte y productos auxiliares 50100000 Servicios de reparación y mantenimiento,Suministros y servicios.,No disponible,No disponible,Intendente de Ferrol.,S1515003J.,"PRIORAUTO, S.L.",B15696784.,"41.322,31 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-23
MINISTERIO DE DEFENSA,Intendente de Ferrol,2024/AR42U/00002719E.,02/01/2025,Contratación,Suministro de un contenedor marítimo con destino al BM. CARNOTA.,Negociado sin publicidad,Galicia,44000000 Estructuras y materiales de construcción; productos auxiliares para la construcción (excepto aparatos eléctricos),No disponible,No disponible,No disponible,Intendente de Ferrol.,S1515003J.,"TECNOVE, S.L.",B13032750.,"149.908,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-24
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,2024/ETSAE0906/00005528E.,02/01/2025,Contratación,prenda de uniformes tradicionales de la legión y paracaidista lote 4.,Abierto,Comunidad de Madrid,"18000000 Prendas de vestir, calzado, artículos de viaje y accesorios",No disponible,No disponible,No disponible,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico.,S2800811H.,ANGEL GABARDOS GALINDO SUCESORES SL.,B50666437.,"104.720,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-25
MINISTERIO DE DEFENSA,Intendencia de Madrid,2024/AR21U/00002014E.,02/01/2025,Contratación,JESAT.- Mantenimiento y conservación de las instalaciones de detección y extinción de los incendios de las dependencias.,Abierto,Comunidad de Madrid,50400000 Servicios de reparación y mantenimiento,No disponible,No disponible,No disponible,Intendencia de Madrid.,S2815001I.,"LÍNEAS Y CABLES, S.A.",A28552149.,"41.322,31 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-26
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,2024/ETSAE0906/00004552E.,02/01/2025,Contratación,CD-1/2025 Primera adquisición de vehículos militares todo terreno tácticos.,Negociado sin publicidad,Comunidad de Madrid,34000000 Equipos de transporte y productos auxiliares,No disponible,No disponible,No disponible,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico.,S2800811H.,ITURRI SA.,A41050113.,"2.013.329,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-27
MINISTERIO DE DEFENSA,Dirección de Gestión Económica de la Jefatura de Apoyo Logístico de la Armada,2024/AR40U/00002753E.,02/01/2025,Contratación,Actualización de capacidades de redes de datos tácticos en procesador BAM/BAC/F-104.,Negociado sin publicidad,Comunidad de Madrid,"32000000 Equipos de radio, televisión, comunicaciones y telecomunicaciones y equipos conexos 72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo",No disponible,No disponible,No disponible,Dirección de Gestión Económica de la Jefatura de Apoyo Logístico de la Armada.,S2815004C.,TECNOBIT S.L.U.,B82193210.,"1.325.535,48 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-28
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del CG de la Comandancia Gral,2024/ETSAE0287/00001255E.,02/01/2025,Contratación,"T.A. Dotación de futuros para 2025, para adquisición de productos farmacéuticos con la empresa OMFE por acuerdo marco.",Abierto,Ciudad de Melilla,"33600000 Equipamiento y artículos médicos, farmacéuticos y de higiene personal",Acuerdo Marco.,No disponible,No disponible,Jefatura de Asuntos Económicos del CG de la Comandancia Gral. de Melilla.,S2930028B.,OMFE.S.A.,A79144317.,"20.000,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-29
MINISTERIO DE DEFENSA,Intendente de Ferrol,2024/AR42U/00002935E.,02/01/2025,Contratación,I-00161-C-24 Servicio abierto de obras de varada y pintado de buques ARFER.,Negociado sin publicidad,Galicia,50600000 Servicios de reparación y mantenimiento,No disponible,No disponible,No disponible,Intendente de Ferrol.,S1515003J.,NAVANTIA S.A.,A84076397.,"1.158.395,36 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-30
MINISTERIO DE HACIENDA,Delegación Especial de la Agencia Tributaria en Castilla y León,24A80087500.,02/01/2025,Contratación,Mantenimiento Sistemas de Seguridad en edificios de la AEAT en Castilla y León.,Abierto,Castilla y León,50600000 Servicios de reparación y mantenimiento,No disponible,No disponible,No disponible,Delegación Especial de la Agencia Tributaria en Castilla y León.,Q2826000H.,SECURITAS SEGURIDAD ESPAÑA S.A.,A79252219.,"32.820,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-31
MINISTERIO DEL INTERIOR,Dirección del Hospital Psiquiátrico Penitenciario de Alicante,2024/08/ASA.,02/01/2025,Contratación,Servicio de limpieza de oficinas y otras dependencias del Hospital Psiquiátrico Penitenciario de Alicante.,Abierto,Cataluña,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente",No disponible,No disponible,No disponible,Dirección del Hospital Psiquiátrico Penitenciario de Alicante.,Q0363011H.,Haurin Servicios de limpieza S.L.,B10772523.,"27.138,84 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-32
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de Carreteras,C30240605050.,02/01/2025,Contratación,"51-BA-0505; 30.345/24; Conservación y explotación de las carreteras y obras menores relacionadas con esos servicios, en el sector BA-05. Provincia de Badajoz.",Abierto,Extremadura,50200000 Servicios de reparación y mantenimiento,No disponible,No disponible,No disponible,Dirección General de Carreteras.,S2817015G.,"ACCIONA MANTENIMIENTO DE INFRAESTRUCTURAS, S.A.-VISEVER, S.L.",No disponible,"8.843.812,13 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-33
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de Carreteras,B30230850900.,02/01/2025,Contratación,30.768/23; 41-B-5090; Redacción proyecto de trazado y construcción: Autovía B-21 de segundo acceso al puerto de Barcelona. Tramo: Enlace de Cornellà - p.k. 0+510 del eje principal. Provincia de Barcelona.,Abierto,Cataluña,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,No disponible,No disponible,Dirección General de Carreteras.,S2817015G.,"AECOM SPAIN DCS, S.L.U. - PEDELTA, S.L.",U16373672.,"1.880.000,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-34
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de Carreteras,C30239129256.,02/01/2025,Contratación,"30.439/23; 61-SC-10301 Mantenimiento preventivo y mejora de las carreteras integrantes de la Red de Carreteras del Estado, en las demarcaciones de Asturias, Cantabria, Castilla y León Occidental, Castilla y León Oriental, Galicia y Madrid.",Abierto,Comunidad de Madrid,50200000 Servicios de reparación y mantenimiento,Lote 9.,No disponible,No disponible,Dirección General de Carreteras.,S2817015G.,"PADECASA OBRAS Y SERVICIOS, S.A.",A05010285.,"6.202.169,47 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-35
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF - Presidencia,3.24/27510.0105.,02/01/2025,Contratación,Suministro y transporte de balasto con destino a las actuaciones para la adecuación de las autopistas ferroviarias en los ámbitos noreste y centro. Dos lotes.,Abierto,Nacional,"14000000 Productos de la minería, de metales de base y productos afines",Lotes 1 y 2.,No disponible,No disponible,ADIF - Presidencia.,Q2801660H.,UTE BALASTO LOTE 2 AMBITO CENTRO.,U75526228.,"715.860,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-36
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF - Presidencia,6.24/28510.0129.,02/01/2025,Contratación,Suministro de material de cableado estructurado para las necesidades de obras y repuestos de Adif.,Abierto,Nacional,"32000000 Equipos de radio, televisión, comunicaciones y telecomunicaciones y equipos conexos",No disponible,No disponible,No disponible,ADIF - Presidencia.,Q2801660H.,SONEPAR IBERICA SPAIN SA.,A96933510.,"160.000,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-37
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF - Presidencia,3.24/27510.0090.,02/01/2025,Contratación,Suministro y transporte de traviesas de madera para la mejora y ampliación de la longitud útil de las vías de la terminal ferroviaria de Muriedas.,Abierto,Cantabria,34000000 Equipos de transporte y productos auxiliares,No disponible,No disponible,No disponible,ADIF - Presidencia.,Q2801660H.,IMPREGNA S A.,A28030336.,"359.910,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-38
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General del Sector Ferroviario,2024F1030420.,02/01/2025,Contratación,Contrato de servicios para la redacción del Estudio Informativo de la nueva estación de Plasencia en la línea ferroviaria de alta velocidad Madrid-Extremadura.,Abierto,Comunidad de Madrid,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,No disponible,No disponible,Dirección General del Sector Ferroviario.,S2800159B.,"LRA INFRASTRUCTURES CONSULTING, S.L.",B86425220.,"308.951,37 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-39
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General del Instituto Geográfico Nacional,2024-1718193.,02/01/2025,Licitación,Servicio técnico para la realización de vuelos fotogramétricos para la producción de ortofotos incluidas en el Plan Nacional de Ortofotografía Aérea en el ámbito de Extremadura y Murcia -PNOA 2025-.,No disponible,"Extremadura, Región de Murcia","71000000 Servicios de arquitectura, construcción, ingeniería e inspección",Varios lotes.,S2811003I.,"253.625,71 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-40
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de la Marina Mercante,202417320162.,02/01/2025,Contratación,"Gestión de servicios de la líneas marítimas de interés público Málaga-Melilla, Almería-Melilla y Motril Melilla.",Abierto,"Andalucía, Ciudad de Melilla",60000000 Servicios de transporte (excluido el transporte de residuos),Lotes 1 y 2.,No disponible,No disponible,Dirección General de la Marina Mercante.,S2829008H.,BALEARIA EUROLÍNEAS MARÍTIMAS S.A.,A53293213.,"20.872.000,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-41
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF - Presidencia,6.24/28510.0188.,02/01/2025,Licitación,"Suministro de equipos de puesta a tierra para cuadros de seccionamiento tipo ""Armarios de Seccionamiento"".",Abierto,Nacional,34000000 Equipos de transporte y productos auxiliares,Se corrige plazo/apertura por anuncio publicado el 13 de enero de 2025 (Ref. BOE-B-2025-753 ).,Q2801660H.,"240.345,60 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-42
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF - Presidencia,2.24/23108.0158.,02/01/2025,Contratación,Servicio de limpieza de las dependencias de la Terminal de Transporte de Mercancías de Irún Mercancías.,Abierto,País Vasco,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente",No disponible,No disponible,No disponible,ADIF - Presidencia.,Q2801660H.,GARBINDU LIMPIEZAS Y MANTENIMTO SL.,B95300190.,"22.800,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-43
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General del Instituto Geográfico Nacional,2024-1718208.,02/01/2025,Licitación,Asistencia técnica para gestión y mantenimiento de bases de entornos SIG para información geográfica de referencia en hidrografía poblaciones y BDIG .,Abierto,Comunidad de Madrid,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,S2811003I.,"196.683,20 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-44
"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",Dirección General de Evaluación y Cooperación Territorial,M240008A.,02/01/2025,Licitación,"Suministro equipamiento de programación y robótica asociado a la actuación 1 del programa Código Escuela 4.0 a los centros educativos de Ceuta y Melilla y centros educativos en el exterior de titularidad del Estado Español y dependientes del MEFPD sostenidos con fondos públicos y que imparten enseñanzas de segundo ciclo de EI, EP y ESO.",Abierto,Nacional,"30000000 Máquinas, equipo y artículos de oficina y de informática, excepto mobiliario y paquetes de software",No disponible,S2800168C.,"319.860,80 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-45
MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,Junta de Contratación del Ministerio de Trabajo y Economía Social,10000758/2024.,02/01/2025,Licitación,Servicio de mantenimiento de las aplicaciones del Ministerio de Trabajo y Economía Social gestionadas por la Subdirección General de Tecnologías de la Información y Comunicaciones.,Abierto,Comunidad de Madrid,"72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo",No disponible,S2819001E.,"15.782.850,00 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-46
